CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,307000000,666000000,791000000,883000000,1115000000,1154000000,1162000000,1217000000,907000000,1022000000,1196000000,1120000000,1364000000,1259000000,1144000000,2102000000,2748000000,2622000000,1978000000,2212000000,1816000000,1668000000,2535000000,2938000000,5968000000,5939000000,6403000000,7472000000,6908000000,8783000000,11639000000,11517000000,11751000000,12519000000,12731000000,12902000000,12457000000,11662000000,10863000000,10866000000,11679000000,,,
阿拉伯联合酋长国,ARE,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿根廷,ARG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,729000000,615000000,631000000,678000000,650000000,627000000,535000000,756000000,680000000,819000000,894000000,733000000,900000000,581000000,607000000,1013000000,1003000000,1561000000,857000000,654000000,914000000,825000000,1166000000,2312000000,1879000000,1878000000,1789000000,1704000000,1973000000,1754000000,1349000000,806000000,930000000,1670000000,2172000000,1986000000,2328000000,2014000000,1991000000,2697000000,3238000000,,,
亚美尼亚,ARM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
美属萨摩亚,ASM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚,AUS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,15963000000,16832000000,18553000000,19679000000,22122000000,23673000000,27256000000,29452000000,32040000000,34725000000,37513000000,37679000000,39979000000,48233000000,47179000000,50639000000,52225000000,59745000000,60698000000,63275000000,69762000000,72709000000,74204000000,77168000000,81630000000,89374000000,92857000000,1.01E+11,1.06E+11,1.14E+11,1.21E+11,1.26E+11,1.29E+11,1.31E+11,1.36E+11,1.39E+11,1.46E+11,1.51E+11,1.64E+11,1.68E+11,1.74E+11,1.87E+11,1.75E+11,1.72E+11,1.79E+11,1.82E+11,1.85E+11,1.87E+11,1.84E+11,1.86E+11,1.81E+11,1.73E+11,1.76E+11,,
奥地利,AUT,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,2141000000,2809000000,2877000000,3160000000,3351000000,2632000000,2933000000,3028000000,3302000000,4042000000,2872000000,3700000000,3337000000,3189000000,3355000000,2798000000,3639000000,2485000000,2505000000,2377000000,2921000000,4361000000,3808000000,4227000000,4710000000,4780000000,4109000000,4930000000,3983000000,4800000000,7006000000,7786000000,5091000000,3740000000,3908000000,5173000000,6215000000,6857000000,5132000000,5455000000,6739000000,8033000000,7817000000,9512000000,9109000000,8486000000,8412000000,7647000000,6947000000,5032000000,6701000000,7321000000,6240000000,,
阿塞拜疆,AZE,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
布隆迪,BDI,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比利时,BEL,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,12933000000,13347000000,14660000000,14905000000,15273000000,15514000000,15641000000,14990000000,15337000000,13675000000,10268000000,8936000000,9471000000,8805000000,11059000000,8763000000,10604000000,11887000000,13431000000,14645000000,15589000000,17455000000,18837000000,16674000000,18147000000,14932000000,13935000000,15060000000,16212000000,17630000000,19855000000,19239000000,18524000000,18718000000,19586000000,19277000000,18206000000,16282000000,16890000000,12528000000,16030000000,12764000000,12660000000,11608000000,11481000000,10493000000,9216000000,8327000000,7235000000,6147000000,5948000000,5375000000,5486000000,,
贝宁,BEN,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
布基纳法索,BFA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉国,BGD,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000000,276000000,741000000,1038000000,1031000000,729000000,780000000,,,
保加利亚,BGR,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,17129000000,18126000000,16967000000,16000000000,16372000000,14640000000,13972000000,14444000000,15295000000,17122000000,16930000000,19031000000,19219000000,20352000000,15174000000,17607000000,19200000000,16469000000,16961000000,21180000000,21000000000,18016000000,17398000000,17148000000,17561000000,17397000000,19178000000,18567000000,16486000000,17207000000,19757000000,17373000000,19462000000,19107000000,18625000000,19206000000,22463000000,23220000000,21103000000,22606000000,27537000000,,,
巴林,BHR,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴哈马,BHS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500000000,8647000000,3117000000,960000000,749000000,722000000,2148000000,4074000000,4478000000,4580000000,5287000000,5365000000,5381000000,6628000000,6617000000,6463000000,7293000000,7627000000,9956000000,9331000000,8996000000,10806000000,,,
白俄罗斯,BLR,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,14000000,8000000,,,
伯利兹,BLZ,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巴西,BRA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,1704000000,1982000000,1399000000,1318000000,1627000000,1500000000,1792000000,3059000000,3040000000,3437000000,4505000000,4671000000,3944000000,4864000000,4946000000,6184000000,5486000000,4865000000,5595000000,4754000000,5685000000,5100000000,5004000000,5030000000,5522000000,6096000000,7385000000,7056000000,9832000000,11006000000,11163000000,9204000000,9093000000,10582000000,10742000000,10500000000,10098000000,12076000000,9782000000,11338000000,12379000000,,,
巴巴多斯,BRB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文莱达鲁萨兰国,BRN,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
不丹,BTN,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博茨瓦纳,BWA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,419000000,428000000,398000000,422000000,464000000,547000000,856000000,683000000,737000000,798000000,902000000,1094000000,1088000000,1058000000,1020000000,739000000,743000000,1104000000,1101000000,920000000,986000000,867000000,695000000,736000000,861000000,860000000,720000000,631000000,550000000,457000000,372000000,,,
中非共和国,CAF,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加拿大,CAN,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,3917000000,4674000000,8471000000,13589000000,16353000000,19762000000,19923000000,22930000000,27271000000,29467000000,37558000000,41707000000,42221000000,34906000000,34791000000,36327000000,40927000000,48312000000,49912000000,52699000000,59808000000,63473000000,69188000000,73760000000,83970000000,79476000000,71655000000,84245000000,91773000000,91758000000,82220000000,88485000000,90030000000,82384000000,86651000000,87403000000,89992000000,99407000000,1.07E+11,1.08E+11,1.18E+11,1.18E+11,1.18E+11,1.13E+11,1.01E+11,1.10E+11,1.08E+11,1.16E+11,1.12E+11,86197000000,83324000000,76364000000,76364000000,,
,CEB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,28539000000,31130000000,33910000000,35512000000,38813000000,51174000000,55145000000,59328000000,62571000000,66018000000,68528000000,1.39E+11,1.52E+11,1.63E+11,1.68E+11,1.81E+11,1.87E+11,1.94E+11,2.04E+11,2.05E+11,2.17E+11,1.99E+11,2.10E+11,2.21E+11,2.31E+11,2.37E+11,2.41E+11,2.45E+11,2.45E+11,2.47E+11,2.55E+11,2.43E+11,2.41E+11,2.37E+11,2.37E+11,2.46E+11,2.51E+11,2.51E+11,2.46E+11,2.42E+11,2.59E+11,2.61E+11,2.55E+11,2.72E+11,2.69E+11,2.67E+11,2.75E+11,2.83E+11,2.71E+11,2.52E+11,2.61E+11,2.74E+11,,,
瑞士,CHE,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000,25000000,47000000,65000000,83000000,83000000,74000000,94000000,102000000,79000000,37000000,31000000,50000000,40000000,9000000,9000000,1000000,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
海峡群岛,CHI,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智利,CHL,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,1376000000,854000000,1227000000,1061000000,802000000,989000000,1060000000,1201000000,1615000000,1890000000,1924000000,1142000000,1364000000,2100000000,1725000000,1585000000,1538000000,3017000000,5406000000,6525000000,4250000000,2601000000,2849000000,4693000000,6391000000,9499000000,9374000000,11342000000,12770000000,8467000000,4837000000,5052000000,4878000000,7718000000,7212000000,10599000000,13259000000,14112000000,14897000000,16866000000,19619000000,24015000000,,
中国,CHN,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,97513000000,97753000000,97713000000,96845000000,1.11E+11,1.04E+11,1.28E+11,1.59E+11,1.63E+11,1.64E+11,1.67E+11,1.82E+11,1.97E+11,2.24E+11,2.64E+11,3.03E+11,3.43E+11,3.77E+11,4.08E+11,4.43E+11,4.99E+11,5.67E+11,6.18E+11,6.96E+11,7.44E+11,8.24E+11,8.69E+11,8.85E+11,9.64E+11,1.06E+12,1.13E+12,1.28E+12,1.52E+12,1.72E+12,1.97E+12,2.30E+12,2.66E+12,2.74E+12,2.94E+12,3.25E+12,3.72E+12,,,
科特迪瓦,CIV,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
喀麦隆,CMR,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
刚果（布）,COG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
哥伦比亚,COL,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,1342000000,1325000000,1447000000,1577000000,1341000000,1541000000,1557000000,1624000000,1575000000,1617000000,1723000000,1866000000,1589000000,2475000000,3139000000,3029000000,3056000000,3266000000,3529000000,3708000000,3803000000,4669000000,4350000000,3541000000,4273000000,1873000000,3063000000,2679000000,1955000000,2201000000,2362000000,2308000000,2928000000,1996000000,2469000000,2935000000,3478000000,3027000000,4165000000,3754000000,2142000000,,,
科摩罗,COM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛得角,CPV,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥斯达黎加,CRI,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
加勒比小国,CSS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
古巴,CUB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
库拉索,CUW,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开曼群岛,CYM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
捷克共和国,CZE,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,30859000000,33686000000,35057000000,35232000000,37311000000,39160000000,41469000000,43931000000,41269000000,44626000000,44649000000,49334000000,51270000000,51193000000,49683000000,47617000000,43936000000,45413000000,46800000000,47600000000,46165000000,44494000000,43602000000,42657000000,44849000000,46850000000,47715000000,47542000000,46134000000,54777000000,54752000000,52085000000,53108000000,52824000000,52267000000,52255000000,56688000000,51724000000,48695000000,50161000000,49888000000,46766000000,,
德国,DEU,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,1.03E+11,1.10E+11,1.19E+11,1.28E+11,1.38E+11,1.37E+11,1.36E+11,1.41E+11,1.54E+11,1.68E+11,2.30E+11,2.45E+11,2.50E+11,2.58E+11,2.62E+11,2.43E+11,2.78E+11,2.71E+11,2.81E+11,2.90E+11,2.94E+11,3.05E+11,3.10E+11,3.23E+11,3.29E+11,3.22E+11,3.25E+11,3.18E+11,3.21E+11,3.24E+11,3.22E+11,3.17E+11,3.05E+11,3.00E+11,2.97E+11,2.96E+11,3.03E+11,2.92E+11,2.99E+11,2.88E+11,3.04E+11,3.02E+11,3.07E+11,3.20E+11,3.05E+11,3.06E+11,3.02E+11,3.10E+11,2.91E+11,2.59E+11,2.74E+11,2.72E+11,2.86E+11,,
吉布提,DJI,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多米尼克,DMA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹麦,DNK,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,3968000000,3714000000,4466000000,5095000000,5078000000,5050000000,5120000000,6231000000,7083000000,6822000000,6249000000,3463000000,3858000000,6845000000,5647000000,6383000000,9532000000,10594000000,11310000000,13956000000,21905000000,16995000000,21698000000,21066000000,21727000000,27268000000,28479000000,27669000000,25568000000,20430000000,23558000000,33445000000,26957000000,29327000000,33290000000,27356000000,39665000000,28756000000,23653000000,20081000000,16673000000,17819000000,18257000000,25307000000,18673000000,15463000000,24566000000,19891000000,17462000000,17687000000,16976000000,13966000000,10558000000,,
多米尼加共和国,DOM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,562000000,70000000,582000000,243000000,25000000,43000000,487000000,462000000,539000000,153000000,201000000,261000000,266000000,677000000,587000000,233000000,509000000,584000000,2651000000,1949000000,1194000000,1766000000,1826000000,1982000000,1939000000,1874000000,1992000000,,,
阿尔及利亚,DZA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
东亚与太平洋,EAP,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,1.05E+11,1.05E+11,1.06E+11,1.06E+11,1.21E+11,1.15E+11,1.40E+11,1.71E+11,1.77E+11,1.77E+11,1.81E+11,1.97E+11,2.12E+11,2.40E+11,2.90E+11,3.32E+11,3.76E+11,4.12E+11,4.49E+11,4.85E+11,5.45E+11,6.12E+11,6.59E+11,7.40E+11,7.92E+11,8.80E+11,9.33E+11,9.50E+11,1.04E+12,1.15E+12,1.23E+12,1.39E+12,1.63E+12,1.84E+12,2.10E+12,2.45E+12,2.82E+12,2.91E+12,3.11E+12,3.45E+12,3.95E+12,,,
东亚与太平洋地区（所有收入水平）,EAS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,54169000000,55570000000,65402000000,74335000000,75525000000,77843000000,89994000000,1.10E+11,1.12E+11,1.05E+11,98469000000,1.91E+11,1.91E+11,1.96E+11,1.97E+11,2.18E+11,2.15E+11,2.51E+11,2.82E+11,2.96E+11,3.11E+11,3.24E+11,3.49E+11,3.90E+11,4.53E+11,5.27E+11,5.80E+11,6.44E+11,6.97E+11,7.50E+11,7.94E+11,8.72E+11,9.63E+11,1.04E+12,1.15E+12,1.23E+12,1.35E+12,1.43E+12,1.48E+12,1.60E+12,1.78E+12,1.91E+12,2.09E+12,2.37E+12,2.60E+12,2.90E+12,3.24E+12,3.66E+12,3.73E+12,3.94E+12,4.30E+12,4.79E+12,,,
欧洲和中亚,ECA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,1539000000,1467000000,2120000000,1524000000,2388000000,11170000000,11859000000,11694000000,11375000000,11372000000,12281000000,40247000000,42966000000,44032000000,43995000000,49181000000,46183000000,47107000000,50215000000,54289000000,56339000000,44686000000,47965000000,50688000000,53167000000,62219000000,70842000000,71314000000,65997000000,73510000000,3.00E+11,2.84E+11,2.76E+11,2.47E+11,2.34E+11,2.26E+11,2.09E+11,2.09E+11,2.02E+11,1.98E+11,2.09E+11,2.20E+11,2.13E+11,2.28E+11,2.23E+11,2.34E+11,2.58E+11,2.78E+11,2.97E+11,2.78E+11,2.89E+11,3.24E+11,,,
欧洲与中亚地区（所有收入水平）,ECS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,3.15E+11,3.39E+11,3.74E+11,3.88E+11,4.20E+11,4.32E+11,4.35E+11,4.62E+11,4.95E+11,5.24E+11,5.72E+11,6.48E+11,6.41E+11,6.88E+11,6.75E+11,6.93E+11,7.81E+11,7.88E+11,8.31E+11,8.73E+11,9.19E+11,9.01E+11,9.34E+11,9.59E+11,9.12E+11,9.78E+11,1.01E+12,1.02E+12,1.01E+12,1.04E+12,1.45E+12,1.44E+12,1.38E+12,1.30E+12,1.30E+12,1.30E+12,1.29E+12,1.24E+12,1.26E+12,1.22E+12,1.30E+12,1.30E+12,1.31E+12,1.38E+12,1.34E+12,1.35E+12,1.40E+12,1.41E+12,1.37E+12,1.23E+12,1.26E+12,1.31E+12,,,
